name,alasan
ikan surung,Daging / ikan mentah (bukan hidangan)
ikan tawes/ bader,Daging / ikan mentah (bukan hidangan)
ikan tempel mentah,Tepung / bahan mentah
ikan tengiri,Daging / ikan mentah (bukan hidangan)
ikan teri bubuk,Daging / ikan mentah (bukan hidangan)
ikan teri goreng belu,Nama bukan nama menu
ikan teri nasi kering,Daging / ikan mentah (bukan hidangan)
ikan teri segar,Tepung / bahan mentah
ikan teri tawar kering,Daging / ikan mentah (bukan hidangan)
ikan terongan,Daging / ikan mentah (bukan hidangan)
ikan tongkol,Daging / ikan mentah (bukan hidangan)
ikan wader,Daging / ikan mentah (bukan hidangan)
ikan wedok,Daging / ikan mentah (bukan hidangan)
ikan wedok kering,Daging / ikan mentah (bukan hidangan)
kepiting air tawar / yuyu,Daging / ikan mentah (bukan hidangan)
kepiting laut,Daging / ikan mentah (bukan hidangan)
kerang,Daging / ikan mentah (bukan hidangan)
samba goreng sarden belu,Nama bukan nama menu
gajih ayam,Minyak / lemak murni
gajih sapi,Minyak / lemak murni
kethak,Minyak / lemak murni
lemak kerbau,Minyak / lemak murni
margarin,Minyak / lemak murni
mentega,Minyak / lemak murni
minyak gajih,Minyak / lemak murni
minyak ikan,Minyak / lemak murni
minyak kacang tanah,Minyak / lemak murni
minyak kelapa,Minyak / lemak murni
minyak kelapa sawit,Minyak / lemak murni
minyak sayur (indomie dll),Minyak / lemak murni
minyak wijen,Minyak / lemak murni
santan,Minyak / lemak murni
agar agar 1 with coconut milk,Bahan / topping / bukan hidangan utuh
agar agar 2 without coconut milk,Bahan / topping / bukan hidangan utuh
agar inaco with coconut milk,Bahan / topping / bukan hidangan utuh
dhelco coklat stick,Biskuit / snack bermerek
es mambo/es lilin,Minuman
gula aren,Gula / pemanis
gula batu,Gula / pemanis
gula kelapa,Gula / pemanis
gula merah tebu belum dimurnikan,Gula / pemanis
gula pasir,Gula / pemanis
gula supra,Gula / pemanis
kethak + gula,Minyak / lemak murni
madu,Gula / pemanis
meises,Bahan / topping / bukan hidangan utuh
miki jelly,Bahan / topping / bukan hidangan utuh
mutiara,Kacang / biji / umbi mentah
permen,Gula / pemanis
setrup / sirup,Gula / pemanis
tebu,Gula / pemanis
adonan kopi + gula pasir,Tepung / bahan mentah
air gula - belu,Minuman
teh manis belu,Minuman
daun cincau,Sayur / daun mentah
gula kopi,Gula / pemanis
jamu,Obat / jamu
jus alpukat susu,Minuman
jus anggur,Minuman
jus jeruk pepaya,Minuman
jus jeruk peras,Minuman
jus mannga,Minuman
jus melon,Minuman
jus papaya,Minuman
kopi (powder),Minuman
kopi bagian yang larut,Minuman
larutan gula and salt,Minuman
larutan oralit,Obat / jamu
legen aren,Minuman
legen kelapa,Minuman
lemonade,Minuman
minuman anggur,Minuman
minuman buah vita,Minuman
minuman go go strawbery,Minuman
sprite fanta coca cola dll,Minuman
susu milo/ milo choklat,Biskuit / snack bermerek
susu sgm (belu),Susu formula / MPASI pabrikan
teh,Minuman
teh cap bunga mawar,Minuman
teh kotak,Minuman
teh kotak,Minuman
teh manis,Minuman
agar-agar,Bahan / topping / bukan hidangan utuh
arafik,Nama bukan nama menu
bawang goreng,Sayur / daun mentah
bika ambon,nama sudah ada di dataset lama
biscuit,Biskuit / snack bermerek
biscuit astor,Biskuit / snack bermerek
biscuit barry sandwich,Biskuit / snack bermerek
biscuit big royal,Biskuit / snack bermerek
biscuit big royal,Biskuit / snack bermerek
biscuit bola bola,Biskuit / snack bermerek
biscuit coklat burbon,Biskuit / snack bermerek
biscuit coklat togo,Biskuit / snack bermerek
biscuit crackers konghuan,Biskuit / snack bermerek
biscuit cripsy crackers,Biskuit / snack bermerek
biscuit famela,Biskuit / snack bermerek
biscuit farley,Biskuit / snack bermerek
biscuit gabin special selecta (mentega.,Minyak / lemak murni
biscuit gem bunga (terigu. gula. tapiok,Biskuit / snack bermerek
biscuit gloria,Biskuit / snack bermerek
biscuit helti,Biskuit / snack bermerek
biscuit interbis,Biskuit / snack bermerek
biscuit isi kagang,Biskuit / snack bermerek
biscuit kacang,Biskuit / snack bermerek
biscuit kering/ bolu kering,Biskuit / snack bermerek
biscuit london,Biskuit / snack bermerek
biscuit malkist crackers (tepung terigu,Biskuit / snack bermerek
biscuit marie cba (tepung terigu. gula.,Biskuit / snack bermerek
biscuit marie susu,Biskuit / snack bermerek
biscuit mari-mari (tepung jagung. tepun,Biskuit / snack bermerek
biscuit mentega rp. 100,Minyak / lemak murni
biscuit milna,Susu formula / MPASI pabrikan
biscuit monde,Biskuit / snack bermerek
biscuit panda-pandaan/bolu pangang,Biskuit / snack bermerek
biscuit permen,Gula / pemanis
biscuit piramid,Biskuit / snack bermerek
biscuit queen sandwich (terigu. gula. m,Biskuit / snack bermerek
biscuit regal,Biskuit / snack bermerek
biscuit regal marie,Biskuit / snack bermerek
biscuit roma,Biskuit / snack bermerek
biscuit sitaba,Biskuit / snack bermerek
biscuit stick,Biskuit / snack bermerek
tempe goreng,nama sudah ada di dataset lama
biscuit sun,Susu formula / MPASI pabrikan
biscuit susana,Biskuit / snack bermerek
biscuit tini wini biti,Biskuit / snack bermerek
brondong,Kacang / biji / umbi mentah
wafer coklat kero-kero rp.50 (terigu. g,Biskuit / snack bermerek
wafer,Biskuit / snack bermerek
vetsin,Bumbu / rempah / penyedap
wafer coklat pyramid,Biskuit / snack bermerek
buah pala,Bumbu / rempah / penyedap
vanilli,Bumbu / rempah / penyedap
wafer interbis,Biskuit / snack bermerek
bumbu sari mie indomie dll,Bumbu / rempah / penyedap
cake wanderpan,Bahan / topping / bukan hidangan utuh
camel roll stick,Biskuit / snack bermerek
candy mentos mint,Gula / pemanis
cantel,Kacang / biji / umbi mentah
cheetos,Biskuit / snack bermerek
chiki,Biskuit / snack bermerek
chiki balls/ boom snack/ guntar snack,Biskuit / snack bermerek
choki choki,Biskuit / snack bermerek
choklat,Bahan / topping / bukan hidangan utuh
cincau,Minuman
